,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
15,BLR,0,8.41661495934959,23.7,12.7333038502659,12.5047965206851,1.59674942957983,5.0,6663.0,63080457022.0,,53.528333,46.569,26.7,0.105196659103866,0.0007532816379081,9449321
16,BEL,4,11.6277859047619,11.4,1.22107361973578,1.23462799783925,3.56189320755359,4.6,47436.0,542587364000.0,0.757,50.641111,375.3,28.2,0.393182185809303,0.0028462263473178,11455519
17,BLZ,0,27.4471817520325,22.1,5.03355612265856,4.37181735594672,2.45124544897444,17.1,4815.0,1879613600.0,,17.066667,17.432,,0.172556278466178,0.0017101712434705,397621
18,BEN,5,27.2607685321101,19.6,6.43348397015375,8.41281043720202,,1.0,1219.0,14390709094.0,0.406,8.833333,107.513,6.4,0.0022797614952754,1.34452971897e-05,12123198
19,BOL,3,21.6944741148718,17.2,1.09594094578861,1.33834331107949,0.471147205562859,6.8,3552.0,40895322865.0,,-17.05687,10.775,,0.0947756576292237,0.0019033620151205,11673029
20,BIH,1,12.0484739390863,17.8,12.7419558859613,13.6927939580634,0.781490663120685,9.0,6073.0,20047848434.0,0.618,44.0,64.33,38.9,0.121148860877556,0.0049079268413488,3280815
21,BWA,2,22.4958295092784,20.3,12.4864628760409,9.98473130282252,0.242960906256937,5.8,7961.0,18340510789.0,0.424,-22.2,4.149,20.0,0.138673045234678,0.0011817360335937,2351625
22,BRA,3,27.968065898374,16.6,0.840763386084385,1.40987997640441,0.400417353976787,10.4,8717.0,1839758040765.0,0.56,-14.0,25.431,13.9,0.162584672974886,0.003223197708458,212559409
23,BRN,0,26.9371781788618,16.6,6.23066454228146,5.58318589075113,0.664025802145455,13.3,31086.0,13469422941.0,,4.4,83.014,16.9,0.51341423552458,0.0002971544037139,437483
24,BGR,1,13.5406420812183,23.6,0.505392544436898,0.499809596298916,1.22202917302663,6.0,9440.0,66182565600.0,0.676,42.75,63.9,37.0,0.178606147765748,0.0053803985949221,7000039
