country_name,iso_3166_1_alpha_3,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population_male,population_female,population_rural,population_urban,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,fiscal_measures,international_support,emergency_investment_in_healthcare,investment_in_vaccines
Curaçao,CUW,49.263888888888886,0.32954545454545453,8545.065656565657,69.66161616161617,75469.0,88631.0,17175.0,140363.0,19331.0,21574.0,19538.0,18723.0,20281.0,24426.0,20705.0,13005.0,6517.0,3127908044.0,19573.0,1216719.0,,,,
Cyprus,CYP,413.5858585858586,1.0909090909090908,60579.143939393936,256.2361111111111,427831.0,448068.0,397867.0,800708.0,95734.0,94326.0,137873.0,139859.0,110212.0,108417.0,93559.0,63906.0,32013.0,24942615800.0,28674.0,307787.0,3886632.436026936,0.0,184781.98653198653,0.0
Czech Republic,CZE,135.39002385149848,1.7286101604515756,30945.13684381843,587.827957625614,168407.18681318683,173991.9010989011,2782553.0,7887156.0,36503.82417582418,33151.71428571428,36960.67032967033,48328.74725274725,55701.93406593407,42583.241758241755,43396.48351648352,31741.89010989011,14030.670329670329,89941594200.0,21413.066666666666,437477.6043956044,7564899.912126537,3655.474516695958,217784.5360281195,0.0
Democratic Republic of the Congo,COD,56.76679841897233,1.6856060606060606,13008.207473508088,593.0037878787879,16310482.666666666,16470330.0,47694888.0,39095679.0,10778863.666666666,7701302.666666667,5184545.333333333,3575422.6666666665,2400291.3333333335,1595197.6666666667,950498.6666666666,473725.6666666667,120965.0,47319624204.0,545.0,1058218.25,614670.0507614213,0.0,110829.10321489001,0.0
Denmark,DNK,3540.223484848485,5.917929292929293,299797.07575757575,1704.5391414141413,2889073.0,2917008.0,698575.0,5119978.0,618216.0,683669.0,783879.0,681161.0,762648.0,797775.0,662929.0,552058.0,263746.0,355582262000.0,61360.0,50046.0,78141390.97811447,161054.97474747474,161140.32323232322,3797.46835443038
Djibouti,DJI,19.630050505050505,0.23863636363636365,7597.887626262626,93.2260101010101,518993.0,469009.0,215011.0,758549.0,197110.0,179320.0,177328.0,162416.0,120922.0,78077.0,44334.0,22330.0,6165.0,3318716359.0,3408.0,192801.0,10600.375234521576,0.0,9398.496240601504,0.0
Dominica,DMA,14.075757575757576,0.07702020202020202,1519.0252525252524,8.42550505050505,35041.0,36298.0,20978.0,50830.0,15280.0,15360.0,10894.0,12217.0,8926.0,5747.0,2629.0,178.0,110.0,596033333.0,8300.0,307823.0,13445.378151260504,0.0,0.0,0.0
Dominican Republic,DOM,726.560606060606,5.517676767676767,211852.1426767677,2498.6742424242425,348172.0606060606,344291.36363636365,1951483.0,8787475.0,123032.9696969697,121793.06060606061,119536.0303030303,100147.60606060606,81155.9696969697,68594.63636363637,43984.09090909091,22927.969696969696,11291.0,88941298257.0,8282.0,3335243.4545454546,1806057.4370748298,0.0,606942.168367347,978.8235294117648
East Timor,TLS,28.713383838383837,0.16287878787878787,6135.439393939394,31.247474747474747,666242.0,652200.0,892937.0,400182.0,331878.0,306716.0,244908.0,159027.0,100788.0,88473.0,50144.0,28914.0,7594.0,1673540300.0,1294.0,305142.0,145892.17398648648,26138.279932546375,107304.9460370995,0.0
Ecuador,ECU,1052.135101010101,44.50631313131313,285722.4747474748,16623.68308080808,703025.32,708149.92,6256951.0,11116711.0,263077.96,249763.76,239860.68,206846.92,166812.2,127639.2,87978.8,46291.52,22904.28,107435665000.0,6183.0,239899.0,742075.2136752136,0.0,1299145.2991452992,0.0
Egypt,EGY,614.1174242424242,30.46969696969697,181715.06313131313,10200.272727272728,51702862.0,50631541.0,57492249.0,42895824.0,25028540.0,18385431.0,16511130.0,15198349.0,10948602.0,7844892.0,5122657.0,2530980.0,763822.0,303175127597.0,3020.0,1473947.0,30715024.201451905,0.0,1077862.3188405796,0.0
El Salvador,SLV,197.42929292929293,5.152777777777778,55976.666666666664,1695.7487373737374,412795.0,469893.86666666664,1758851.0,4694702.0,155982.4,158693.2,165328.26666666666,119803.66666666667,98424.93333333333,77337.73333333334,55295.13333333333,34014.26666666667,17808.866666666665,27022640000.0,4187.0,3484310.1333333333,3069491.300341297,0.0,305119.45392491465,0.0
Equatorial Guinea,GNQ,20.056818181818183,0.23106060606060605,6568.652777777777,89.57954545454545,780380.0,622605.0,371174.0,984812.0,371663.0,265297.0,286385.0,248981.0,115362.0,62217.0,34879.0,14721.0,3480.0,11026774945.0,8131.0,192791.0,,,,
Eritrea,ERI,12.256313131313131,0.13005050505050506,3182.686868686869,20.133838383838384,1777548.0,1768879.0,,,971770.0,860625.0,572236.0,460764.0,280842.0,171950.0,128327.0,77082.0,22831.0,,,296961.0,915.3722504230118,0.0,0.0,0.0
Estonia,EST,87.42809307117713,2.8724747474747474,12327.010732377435,727.3661616161617,625635.0,699185.0,410566.0,916024.0,144911.0,133739.0,152825.0,192519.0,182048.0,171824.0,162450.0,109787.0,74717.0,30722303000.0,23246.0,334738.25,5333562.4781849915,577.6614310645724,2392.479930191972,0.0
Ethiopia,ETH,591.9823232323232,9.43560606060606,176982.7095959596,2821.1136363636365,57516835.0,57446748.0,88290020.0,23788710.0,32037548.0,26828994.0,21439045.0,13792878.0,9038653.0,5704066.0,3624554.0,1929368.0,568477.0,96107662398.0,857.0,192800.0,2356902.3569023567,0.0,259992.41414141413,0.0
Falkland Islands,FLK,0.1452020202020202,0.0,39.93181818181818,0.0,1385.0,1296.0,,,414.0,270.0,311.0,314.0,319.0,337.0,316.0,273.0,126.0,,,2185374.0,,,,
Faroe Islands,FRO,43.76010101010101,0.03535353535353535,2339.3800505050503,2.88510101010101,27785.0,25775.0,28124.0,20554.0,7165.0,7068.0,7773.0,6229.0,6056.0,6837.0,5844.0,4321.0,2267.0,2833300519.0,58622.0,52939.0,0.0,0.0,0.0,0.0
Fiji,FJI,80.80681818181819,1.053030303030303,15038.585858585859,181.52904040404042,454018.0,442426.0,384905.0,505048.0,177140.0,158135.0,141945.0,134954.0,106523.0,91437.0,57119.0,23633.0,5558.0,5535548972.0,6220.0,571747.0,673400.6734006734,0.0,67340.06734006734,0.0
Finland,FIN,1043.3106918238993,3.013888888888889,94713.34465408805,762.8232323232323,2723290.0,2794629.0,803426.0,4716888.0,576696.0,601705.0,675248.0,706147.0,657943.0,732782.0,724769.0,539919.0,302710.0,276654540000.0,50150.0,54224.0,866949.013536379,16234.246205733558,190213.3569023569,7017.503797468355
France,FRA,822.9176141268158,4.053526750066543,99032.0552564087,1614.6531781153237,836000.3739130435,893348.3391304348,12936523.0,54123364.0,202163.65217391305,213954.38260869565,194295.61739130435,214284.99130434782,223601.75652173912,226729.22608695654,206807.81739130436,141031.46956521738,106479.80869565217,1821309202500.0,55873.0,518205.50458715594,1550369550.23339,2234675.391822828,19650516.686440676,761759.709390863
French Guiana,GUF,98.18813131313131,0.494949494949495,21295.16792929293,125.02525252525253,147750.0,150932.0,,,66121.0,57553.0,46109.0,38719.0,36990.0,26711.0,17226.0,7222.0,2031.0,,,1260551.0,,,,
