iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
EGY,24.270150388832487,27.7,4.1569707458518845,5.363480785309966,,17.2,3020.0,303175127597.0,0.486,27.0,102.802,25.2,0.005035921302047367,0.00024230365618100103,102334403.0,1.0,0.0,2.0,2.0,3.0,4.0,2.0
ERI,18.893864,23.9,,,,5.1,,,,15.483333,35.113,5.7,0.0028657011690921596,2.9043315990996007e-05,3546427.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0
ESP,15.152451324543609,9.9,2.783754748712315,2.743920129424382,,6.9,30326.0,1418587740000.0,0.743,40.2,93.1,29.3,0.28493723296687096,0.002413423422770834,46937060.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0
EST,7.366543714430894,17.0,1.0248086520394193,1.0496450009878078,2.8260200740013754,4.2,23246.0,30722303000.0,0.747,59.0,30.4,31.3,0.4525867665041289,0.0020085747497773283,1324820.0,2.0,0.0,2.0,2.0,5.0,2.0,1.0
ETH,20.17368521419976,18.3,12.476544921988973,1.3212056980275824,0.05471036858689416,4.3,857.0,96107662398.0,0.385,9.0,114.964,4.4,0.004291506815684407,6.586433549135294e-05,114963583.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0
FIN,3.648379547112462,10.2,6.053408066449577,6.25515436426374,2.3675184699030547,5.6,50150.0,276654540000.0,0.814,65.0,18.1,20.4,0.2315135470455438,0.0010616321116710848,5517919.0,3.0,0.0,2.0,2.0,5.0,1.0,1.0
FJI,26.11099206402439,30.6,11.072899562047379,11.307869123527436,0.9423039131006847,14.7,6220.0,5535548972.0,,-18.0,49.066,22.6,0.07608618050876574,0.0009794253740334031,896444.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0
FRA,12.691252012195122,10.6,1.2771018836312125,1.2984221669611,5.006193568114682,4.8,41300.0,2776646200000.0,0.765,47.0,105.6,32.7,0.503874605723201,0.0023076756748400154,67012883.0,3.0,0.0,3.0,2.0,5.0,4.0,2.0
FRO,7.6152326158536585,,5.434266950689748,5.012750474737582,36.119922234728335,4.7,58622.0,2833300519.0,,61.969944,35.004,,0.7092602066919063,0.0005730072649135373,48865.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0
FSM,,26.1,,,,11.9,3568.0,401932300.0,,12.0,164.31599999999997,,0.0863581432955721,0.00026082193686370315,115021.0,[],[],[],[],[],[],[]
GAB,26.70910916751269,14.4,2.0998645264503444,2.3619771347028014,4.691898061617991,6.0,7667.0,16657960228.0,0.453,-0.683331,8.638,,0.021866104034275528,0.00013748310665094747,2225728.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0
GBR,9.176960460913707,10.9,1.24894459662743,1.2777867508229745,9.436534462750153,3.9,43070.0,2860009176200.0,0.781,54.6,273.8,22.3,0.3534282325691772,0.0028362219206137544,66647112.0,3.0,0.0,2.0,2.0,5.0,3.0,2.0
GEO,,24.9,1.190989907481899,1.4425192022063555,7.725481010750581,5.8,4769.0,17743195770.0,0.6140000000000001,,57.406,28.8,0.4417469777585591,0.004236464933225542,3989175.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0
GGY,12.459605725888325,,7.369636211477198,6.958737924606979,,,,,,49.4558,,,0.4897907579493015,0.0009798343763828307,63276.0,[],[],[],[],[],[],[]
GHA,27.528307558282208,20.8,6.850242750283767,7.175756979609893,0.10425952116055193,2.5,2202.0,66983634223.0,0.439,8.0,136.56,3.9,0.005426457003029485,4.6954030266522854e-05,31072945.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0
