,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
98,LTU,0,8.663828026422763,20.7,1.1485315738006328,1.1588160527838685,3.7957649508517184,3.8,19116.0,53411968400.0,0.712,55.2,44.7,28.8,0.4410471894477958,0.0033286998995055,2794184.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0
99,LUX,0,9.618800807497466,10.0,1.382386099408191,1.4060808344984967,6.59904925815046,5.0,116348.0,70862634400.0,0.692,49.77,235.1,23.5,0.4699948199526302,0.0018341928736882,613894.0,3.0,0.0,3.0,2.0,5.0,2.0,1.0
100,MDG,3,19.673244125,22.9,1.8433832283311784,1.40910816700682,0.0222121992467142,4.5,522.0,14083906356.0,0.374,-20.0,47.596,,0.002406989789722,5.0919036240594826e-05,27691019.0,4.0,2.0,3.0,2.0,0.0,4.0,0.0
101,MWI,2,19.27135552974186,16.4,0.5703909600445088,0.6057647238792222,0.0209171548374907,4.5,411.0,7666704427.0,0.407,-13.0,202.906,14.5,0.0045918560707539,0.0001398330524039,19129955.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0
102,MYS,1,26.71046386280488,17.2,1.482715970362989,1.503109034357668,2.030266049360709,16.7,11414.0,364701517787.0,0.622,3.780511,98.512,21.5,0.1474090655756781,0.0011115772582788,32655400.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0
103,MDV,3,28.900444136178866,13.4,2.4278903625042405,2.0987850740210408,5.826991460855249,9.2,10790.0,5729248472.0,,4.18,1801.807,28.3,0.3421861760973245,0.0005697984615441,540542.0,[],[],[],[],[],[],[]
104,MLI,0,29.68885483963228,24.6,1.395756904595156,1.754748917119071,0.0298753127895868,2.4,890.0,17510141171.0,0.317,17.0,16.596,12.3,0.001599193396183,3.6492324217363096e-05,20250834.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
105,MLT,0,19.08564639532521,10.8,1.6232831471535087,1.595204834077998,5.302027210248922,8.3,30090.0,14606972200.0,0.701,35.883333,1548.3,25.5,0.2316805083080239,0.0016269584791281,493559.0,3.0,0.0,3.0,2.0,5.0,4.0,2.0
106,MRT,4,29.767806333333336,18.1,4.1201094506067335,5.458542579157959,0.1230660284565791,7.1,1677.0,7593752450.0,0.353,21.0,4.511,,0.0135016323774211,0.0002135640025292,4649660.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
107,MUS,4,23.157421531504063,22.6,18.146181089550435,17.46857444935993,,22.0,11203.0,14180444557.0,0.626,-20.2,626.4860000000001,21.6,0.2051845974930942,0.0008051789360786,1271767.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0
