country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
Bosnia and Herzegovina,BIH,10.919319,17.8,309136.2,449873.8,626761.9,9.0,,6073.0,20047847000.0,0.618,1,44.0,64.33,38.9,0,2
Botswana,BWA,23.270287,20.3,298172.3,322700.56,763556.44,5.8,,7961.0,18340512000.0,0.424,1,-22.2,4.149,20.0,2,3
Bouvet Island,BVT,,,,,,,576.0,,,,,-54.42222,,,,
Brazil,BRA,23.861704,16.6,2615684.0,6909423.0,25280.959,10.4,443.94986,838648.0,919880140000.0,0.56,,-16.427912,25.431,13.9,,
British Indian Ocean Territory,IOT,28.171522,,,,,,,,,,,-6.0,,,,
British Virgin Islands,VGB,27.445679,,13688.875,16594.758,,14.2,,,,,,18.5,201.58,,,
Brunei,BRN,26.941664,16.6,156552.6,197899.45,,13.3,,31086.0,13469423000.0,,4,4.4,83.014,16.9,0,3
Bulgaria,BGR,11.66706,23.6,78366.3,155773.69,2129845.2,6.0,353.3158,9440.0,66182566000.0,0.676,,42.836273,63.9,37.0,,
Burkina Faso,BFA,28.730536,21.7,460927.22,526075.5,310826.16,7.3,,774.0,15745810000.0,0.369,1,12.266667,76.401,12.5,0,3
Burundi,BDI,22.489897,22.9,2678.65,2752.1924,1361861.0,5.1,,261.0,3012334800.0,0.38,2,-3.666667,463.037,,0,1
Cambodia,KHM,27.957644,21.1,7491413.0,8240761.0,1655497.1,6.4,,1643.0,27089390000.0,0.493,2,12.6,94.714,17.2,0,1
Cameroon,CMR,23.43458,21.6,182028.66,356251.5,,6.0,,1497.0,38760470000.0,0.394,1,7.0,56.157,,0,2
