country_code,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
BB,BRB,0,27.3787571346154,16.2,1.0551662339769,1.06392888528177,3.15719301629501,13.4,18148,5209000000,,13.17,668.305,7.8,0.354506891787967,0.00193478117137777,287371
BD,BGD,6,26.5409666869919,21.6,2.83529147623411,2.67718035720647,0.113560268184845,9.2,1855,302571254131,0.479,24.016667,1265.187,23,0.0122447662579439,0.00017813534464453,164689383
BE,BEL,2,11.6277859047619,11.4,1.22107361973578,1.23462799783925,3.56189320755359,4.6,47436,542587364000,0.757,50.641111,375.3,28.2,0.393182185809303,0.00284622634731783,11455519
BF,BFA,4,28.8221683957274,21.7,4.4391933316723,3.76648356019455,0.0130840722684739,7.3,774,15745810234,0.369,12.266667,76.401,12.5,0.00101075056266295,0.0000185138426614237,20903278
BG,BGR,2,13.5406420812183,23.6,0.505392544436898,0.499809596298916,1.22202917302663,6,9440,66182565600,0.676,42.75,63.9,37,0.178606147765748,0.00538039859492211,7000039
BH,BHR,5,28.3347880294715,11.3,1.33151690761857,1.35522105782895,7.13340926335085,15.6,23503,38574069148,0.668,26.0675,2238.925,26.4,0.396635956047986,0.000892110464197162,1701583
BI,BDI,1,22.5715987715736,22.9,0.0491136789080549,0.0426494386815412,0.265541851287985,5.1,261,3012334881,0.38,-3.666667,463.037,,0.00419501460837602,0.00000126148147880278,11890781
BJ,BEN,1,27.2607685321101,19.6,6.43348397015375,8.41281043720202,,1,1219,14390709094,0.406,8.833333,107.513,6.4,0.00227976149527542,0.0000134452971897349,12123198
BM,BMU,NaN,22.619723064843,,11.7419483436859,11.6372515723376,61.2070312100823,6.7,,,,32.333333,1245.46,,0.287652754805453,0.00237663192715944,62273
BN,BRN,0,26.9371781788618,16.6,6.23066454228146,5.58318589075113,0.664025802145455,13.3,31086,13469422941,,4.4,83.014,16.9,0.51341423552458,0.000297154403713973,437483
BO,BOL,5,21.6944741148718,17.2,1.09594094578861,1.33834331107949,0.471147205562859,6.8,3552,40895322865,,-17.05687,10.775,,0.0947756576292237,0.0019033620151205,11673029
BR,BRA,5,27.968065898374,16.6,0.840763386084385,1.40987997640441,0.400417353976787,10.4,8717,1839758040765,0.56,-14,25.431,13.9,0.162584672974886,0.00322319770845806,212559409
BS,BHS,3,25.8006756331301,15.5,8.02318130034991,7.43861466296854,1.20888422661482,8.8,32933,12827000000,,25,39.286,11.5,0.0945230490682724,0.00211062739034909,393248
BT,BTN,5,19.0417014878049,23.3,13.8559440475429,7.33016159728789,3.79197046511707,10.3,3243,2446674102,,27.45,20.243,,0.0795982955163995,0.0000272157509214476,771612
BW,BWA,6,22.4958295092784,20.3,12.4864628760409,9.98473130282252,0.242960906256937,5.8,7961,18340510789,0.424,-22.2,4.149,20,0.138673045234678,0.00118173603359379,2351625
BY,BLR,4,8.41661495934959,23.7,12.7333038502659,12.5047965206851,1.59674942957983,5,6663,63080457022,,53.528333,46.569,26.7,0.105196659103866,0.000753281637908163,9449321
BZ,BLZ,0,27.4471817520325,22.1,5.03355612265856,4.37181735594672,2.45124544897444,17.1,4815,1879613600,,17.066667,17.432,,0.172556278466178,0.00171017124347054,397621
CA,CAN,5,2.21418559229209,9.8,2.48914318146675,2.55421555253465,1.99681857080929,7.6,46194,1736425629519,0.799,56,4.15,14.3,0.111220484828146,0.00117499908656519,37742157
CD,COD,6,,19.4,0.604879197613731,0.765327055670096,,6,545,47319624204,0.369,-2.88,39.506,,0.00103560234495654,0.0000158773750353445,89561404
CF,CAF,1,,23.1,10.4935654090851,7.72271104651735,,6,467,2220307368,,6.7,7.753,,0.00308565801558834,0.0000233965883219139,4829764
CG,COG,1,26.063725925813,16.7,4.09904783699204,3.33773320903655,,6,2011,10820591130,0.42,-0.75,16.158,26.9,0.00448977653870215,0.0000699517151943099,5518092
CH,CHE,2,7.57767280609137,8.6,1.10666236968095,1.1201392683141,3.07972712958534,5.7,81993,703082435360,0.767,46.798562,213.6,25.7,0.474455402856121,0.00158581042578483,8544527
CI,CIV,1,26.5738933669725,29.1,5.31010437349004,1.80649585480644,0.0776413804647646,2.4,2286,58792205642,0.353,8,82.951,,0.00329714509383195,0.0000311620073715965,26378275
CK,COK,NaN,25.5238209634146,,41.7217034843999,27.6132999316784,,,,,,-21.233333,73.183,,0.363755408790708,0.0000569346390343885,17564
CL,CHL,5,15.3239864812183,12.4,1.66470363197938,1.6741206672529,2.75998122298505,8.6,14896,282318159744,0.674,-33,25.71,37.8,0.259957563453244,0.0034609075689813,17574003
CM,CMR,1,23.0677045164835,21.6,0.796120514161894,0.969475838891204,,6,1497,38760467033,0.394,7,56.157,,0.00458271013518339,0.0000728927112713303,26545864
CN,CHN,1,5.4142583851626,17,0.861672789025485,1.02598945852108,,9.2,10261,14342902842915,0.673,35.844722,153.312,25.6,0.00451683847473223,0.0000177062315375887,1439323774
CO,COL,5,20.5815244329268,15.8,2.31806969112464,2.66395154049893,0.962693893817393,7.4,6432,323802808108,0.593,4,45.861,9,0.123898578547552,0.00278498364990475,50882884
CR,CRI,3,26.6145556880081,11.5,10.5492061964768,10.8175706848345,0.885787128732677,9.1,12238,61773944173,0.619,10,99.767,11.9,0.217072487973375,0.00174966637966877,5094114
CU,CUB,3,26.1328104186992,16.4,1.98849869178916,2.09041140841382,0.996999556625206,9.6,8821,100023000000,,22,106.413,35.2,0.0980829578755032,0.000753093421724547,11326616
CV,CPV,5,24.6296513414883,17.2,9.16428651937332,10.3377434231001,1.06097662027083,2.4,3603,1981845740,,15.916667,137.962,9.1,0.112135513716123,0.000737425987611243,555988
CW,CUW,NaN,26.8689043633603,,1.43526565262681,1.3968864353407,14.9637754756585,11.6,19573,3127908044,,12.166667,369.595,,0.276325411334552,0.00174893357708714,164100
CY,CYP,6,21.1268650771574,11.3,4.22223010465451,4.29225506697,45.0802527764501,9,28674,24942615800,0.751,35,94.4,36.4,0.662061493391361,0.00133919550085113,875899
CZ,CZE,4,9.54700507106599,15,0.970029223542262,1.04437375451608,2.12549745429602,7,23010,244932977600,0.782,49.5,137.7,34.3,0.382017596574584,0.00384345245920111,10649800
DE,DEU,5,10.8283891778455,12.1,1.25905461461066,1.24590748392113,,10.4,47554,3946356600000,0.795,51,234.7,30.6,0.392740328675484,0.00179148891714982,83019213
DJ,DJI,1,30.5292745802005,19.6,5.31972347818874,5.45537863283678,0.623986591120261,5.1,3408,3318716359,,11.8,42.623,13.1,0.0158805346547882,0.00019129515932154,988002
DK,DNK,4,9.43872828048781,11.3,1.32612669954422,1.30444698287318,13.008016818757,8.3,61360,355582262000,0.774,56,138,19.1,0.565563243089444,0.00120339347659807,5806081
DM,DMA,3,27.2337961852227,,4.99880606768968,4.61224880944013,7.00087510938867,11.6,8300,596033333,,15.416667,95.988,,0.206303565723493,0.000944562514758789,71991
DO,DOM,5,26.9176475685279,19,1.16893783570806,1.36333575277341,0.332982402631952,8.6,8282,88941298257,0.492,18.8,224.501,13.7,0.059152164325938,0.000404133369911828,10847904
DZ,DZA,3,27.2541953865717,14.2,5.4696285483259,6.62185440428914,,6.7,3948,169988236398,0.523,28,18.411,15.6,0.00617020671549363,0.000156871981357433,43851043
EC,ECU,5,16.3373383820225,13,1.46247721540783,1.54774840198622,0.199301631372001,5.5,6183,107435665000,0.602,-1,71.038,7.1,0.0566702714835182,0.0020338875455845,17643060
EE,EST,2,7.36654371443089,17,1.02480865203942,1.04964500098781,2.82602007400138,4.2,23246,30722303000,0.747,59,30.4,31.3,0.452586766504129,0.00200857474977733,1324820
EG,EGY,5,24.2701503888325,27.7,4.15697074585188,5.36348078530997,,17.2,3020,303175127597,0.486,27,102.802,25.2,0.00503592130204737,0.000242303656181001,102334403
ER,ERI,NaN,18.893864,23.9,,,,5.1,,,,15.483333,35.113,5.7,0.00286570116909216,0.000029043315990996,3546427
ES,ESP,4,15.1524513245436,9.9,2.78375474871232,2.74392012942438,,6.9,30326,1418587740000,0.743,40.2,93.1,29.3,0.284937232966871,0.00241342342277083,46937060
ET,ETH,2,20.1736852141998,18.3,12.476544921989,1.32120569802758,0.0547103685868942,4.3,857,96107662398,0.385,9,114.964,4.4,0.00429150681568441,0.000065864335491353,114963583
FI,FIN,0,3.64837954711246,10.2,6.05340806644958,6.25515436426374,2.36751846990305,5.6,50150,276654540000,0.814,65,18.1,20.4,0.231513547045544,0.00106163211167108,5517919
FJ,FJI,6,26.1109920640244,30.6,11.0728995620474,11.3078691235274,0.942303913100685,14.7,6220,5535548972,,-18,49.066,22.6,0.0760861805087657,0.000979425374033403,896444
FM,FSM,NaN,,26.1,,,,11.9,3568,401932300,,12,164.316,,0.0863581432955721,0.000260821936863703,115021
FO,FRO,NaN,7.61523261585366,,5.43426695068975,5.01275047473758,36.1199222347283,4.7,58622,2833300519,,61.969944,35.004,,0.709260206691906,0.000573007264913537,48865
FR,FRA,2,12.6912520121951,10.6,1.27710188363121,1.2984221669611,5.00619356811468,4.8,41300,2776646200000,0.765,47,105.6,32.7,0.503874605723201,0.00230767567484002,67012883
GA,GAB,1,26.7091091675127,14.4,2.09986452645034,2.3619771347028,4.69189806161799,6,7667,16657960228,0.453,-0.683331,8.638,,0.0218661040342755,0.000137483106650947,2225728
GB,GBR,4,9.17696046091371,10.9,1.24894459662743,1.27778675082297,9.43653446275015,3.9,43070,2860009176200,0.781,54.6,273.8,22.3,0.353428232569177,0.00283622192061375,66647112
GD,GRD,3,27.3478618663968,21.4,3.78934781124634,3.95165584155888,5.66482105244448,10.7,10965,1228170370,,12.116667,330.938,,0.173064104728979,0.00209742354624552,112519
GE,GEO,3,,24.9,1.1909899074819,1.44251920220636,7.72548101075058,5.8,4769,17743195770,0.614,,57.406,28.8,0.441746977758559,0.00423646493322554,3989175
GF,GUF,NaN,26.1471902880325,,,,,,,,,3.99886,3.634,,0.314170254652105,0.00136934934144006,298682
GG,GGY,NaN,12.4596057258883,,7.3696362114772,6.95873792460698,,,,,,49.4558,,,0.489790757949301,0.000979834376382831,63276
GH,GHA,1,27.5283075582822,20.8,6.85024275028377,7.17575697960989,0.104259521160552,2.5,2202,66983634223,0.439,8,136.56,3.9,0.00542645700302949,0.0000469540302665229,31072945
GI,GIB,NaN,18.9691727786802,,5.09441640983047,4.79206946671517,15.256299902051,,,,,36.13775,3369.1,,0.595678371078329,0.00320560387046986,33691
GL,GRL,NaN,-29.1225641015385,,5.1732000525933,5.31993654442331,,2.1,54470,3051626389,,72,0.138,,0.210860987810893,0.000369900655252589,56772
GM,GMB,1,28.7621548971487,20.4,4.95126824587031,4.92756260609449,,1.9,751,1763819047,0.397,13.5,238.801,15.5,0.00513724704799674,0.000153931204337881,2416664
GN,GIN,1,27.6031346659529,22.4,1.27840873619195,2.24195620464182,,2.4,1064,13590281808,0.374,10,53.446,,0.00286702172698692,0.000034189226479792,13132792
GR,GRC,3,17.7991874908537,12.4,1.21313248680489,1.21964309978553,7.5846537650736,4.7,20296,217962048000,0.681,38.5,82.5,43.4,0.451188058406659,0.00306715430572276,10724599
GT,GTM,3,22.9135363828921,14.9,1.0588168774754,1.2831310922301,0.306827757293043,10,4619,76710385879,0.46,15.5,167.185,,0.0620996254263122,0.00109870929566449,17915567
GU,GUM,NaN,28.0319924959514,,,,2.31213150707849,18.7,35712,5920000000,,13.5,312.561,,0.288352499955564,0.00233435831807706,168783
GW,GNB,1,28.1528290875764,20,4.32387104317047,6.21599335974935,0.198170933100542,2.4,697,1340389410,,12,69.986,,0.00446951673731376,0.0000889228545963969,1967998
GY,GUY,3,27.5347927987805,30.5,4.7650692828908,4.75186613708962,,11.6,5468,4280443645,0.495,5.733333,3.996,,0.0905323059045793,0.00162607000873425,786559
HK,HKG,NaN,24.0025092510163,,1.58330944085201,1.62282230669578,,4.5,48755,366029556273,0.822,22.278333,7139.989,,0.00205962714626194,0.0000288115707268039,7496988
HN,HND,3,26.1844721217039,14,7.53119356162304,7.88006582016804,,7.3,2574,25095395475,0.49,14.633333,88.521,2,0.046005758127934,0.00110948358582187,9904608
HR,HRV,2,12.5936521522843,16.7,1.09712416767781,1.10678437724931,1.26425443859342,5.4,14868,60917594400,0.723,45.25,73.2,37,0.299787353363855,0.00412560969087734,4076246
HT,HTI,1,27.1898644716599,26.5,0.262274583603011,0.419634245595547,0.0262222437768871,6.7,754,8498981820,0.446,19,413.735,12.7,0.0029556590627714,0.000075158738852148,11402533
HU,HUN,2,12.2097129847561,23,1.72447738786586,1.74832140270983,1.63001342049526,6.9,16166,157862996000,0.703,47,107.1,30.6,0.211858660955006,0.00485113922827911,9772756
ID,IDN,6,27.8061144949187,26.4,1.26949413777036,1.4997829322759,0.510540648440992,6.3,4135,1119190780752,0.535,-2,150.987,39.4,0.0234081648107459,0.000577094582993986,273523621
IE,IRL,4,10.1435138314721,10.3,1.33648008536514,1.35137275310336,3.04276253338399,3.2,78706,382365076000,0.806,53.333333,70.9,24.3,0.338612098918487,0.00161105492390258,4904240
IM,IMN,NaN,10.4223724730964,,2.98675300768004,2.93617933861267,,,80989,6770532818,,54.235,149.179,,0.446984664596858,0.00136419230407376,85032
IN,IND,5,26.8607363882114,23.3,1.22801790069212,1.26599186892731,0.764557444804854,10.4,2104,2875142314811,0.44,22.8,464.149,11.5,0.0322582156142931,0.000382788638747695,1380004385
IQ,IRQ,NaN,26.4500809441057,21.3,2.83743261305854,3.54129805882224,0.650123628496852,8.8,5955,234094042938,0.398,33,92.61,,0.061122725256556,0.000630194495852235,40222503
IR,IRN,3,19.1014723343496,14.8,4.36195735665209,4.71720918382632,0.705540532512117,9.6,5520,445345282122,0.591,32,51.575,11,0.0897808891181621,0.00171732264253169,83992953
IS,ISL,3,3.29378471675127,9.1,5.79672476737109,6.05722801562175,4.57034948837443,5.8,66944,24188035738,0.74,65,3.5,14.7,0.575039706883367,0.000596653697152029,356991
IT,ITA,2,16.3327940873984,9.5,1.22772851151313,1.29113103227465,4.33728290790757,5,34456,2083196780000,0.769,42.5,202.9,23.7,0.366378219610863,0.00292354750315716,60359546
JE,JEY,NaN,12.3386172192893,,6.52296423955192,3.77561395950022,,,,,,49.19,,,0.561800947867299,0.00129857819905213,105500
JM,JAM,3,27.3328063882114,14.7,0.877203086338542,0.980443734147434,0.410652717151377,11.3,5582,16458071067,0.544,18.18,273.422,16.8,0.0509627811523926,0.00110969987785196,2961161
JO,JOR,2,21.2377322642276,19.2,2.1134077586013,2.21858380133572,2.73687290549519,12.7,4330,43743661971,0.562,31.2,114.926,,0.170756845441697,0.00138329965089178,10203140
JP,JPN,0,17.1135761747967,8.4,1.49644503912312,1.47885252072219,0.488501951373407,5.6,40246,5081769542379,0.844,35,346.934,22.1,0.156574664670005,0.000341320437673863,126476458
KE,KEN,3,21.7973534519427,13.4,0.739852017356406,0.903690379406764,0.0616976940745585,3.1,1816,95503088538,0.518,0.1,94.478,10.7,0.00629160909258285,0.000105539572225332,53771300
KG,KGZ,6,11.0966530823171,24.9,0.519029285453691,0.61418423776709,,6.1,1309,8454619607,0.58,41,34.016,26.5,0.0315625339601492,0.000458447645079673,6524191
KH,KHM,3,28.0122503018293,21.1,2.02821935956499,2.06720264895203,0.361665753549248,6.4,1643,27089389786,0.493,12.6,94.714,17.2,0.00823848549052451,0.000182786368850093,16718971
KI,KIR,NaN,28.2787563678862,28.4,27.5650035310074,36.4727685798559,,22.5,1655,194647201,0.479,1.466667,147.464,47,0.0287159050951895,0.000108835791905966,119446
KM,COM,2,27.0351456880081,22.9,14.1498573028712,14.7272221551412,,12.3,1393,1185728676,0.409,-12.23333,467.273,14,0.00973671651745928,0.000183993698215836,869595
KN,KNA,3,27.1411839989879,,7.63870848658035,8.58542028266799,4.73846418816315,13.3,19896,1050992592,,17.271667,204.585,,0.122875620394044,0.000864791697999699,53192
KR,KOR,0,13.8590279420732,7.8,1.54177425052181,1.55591882019387,2.27676958328818,6.9,31761,1642383217167,0.845,36,527.298,23.3,0.473275924837733,0.000539602903365946,51269183
KW,KWT,5,28.1218035792683,17.4,12.6583455846646,12.6936156300473,2.6339732678075,12.2,32031,134761198945,0.576,29.166667,239.65,22.5,0.154018334350764,0.000600155061522333,4270563
KY,CYM,NaN,27.5044687205285,,7.2210387502536,7.75428439208664,35.5979914790018,6.8,85477,5485419416,,19.5,273.833,,0.464774802191114,0.000471698113207547,65720
KZ,KAZ,3,6.69907427263479,26.8,1.30713527434201,1.33198789438017,1.42411526213504,6.1,9731,180161741180,0.746,48,6.955,24,0.0789325838657439,0.00101439512263785,18776707
LA,LAO,0,27.3446859451219,27,5.61922149041548,6.27949967844382,0.52836757911667,6.4,2534,18173839128,0.452,18.2,31.523,28.9,0.0295725852429698,0.000104047030907329,7275556
LB,LBN,4,19.7600766385787,17.9,0.883276500665089,0.979827394402451,2.48536494570085,11.2,7784,53367042272,0.538,33.833333,667.199,33.8,0.177746730541407,0.00156033850994558,6825442
LC,LCA,3,27.3282652489879,18.8,1.09732122921761,1.555232094526,1.215183098219,11.6,11611,2122450629,,13.883333,301.031,,0.157703848520658,0.00214018482919365,183629
LI,LIE,2,9.13301295025381,,1.08413604300998,1.09417051617413,3.41105536397469,9.4,173356,6552858738,,47.145,242.1,,0.505237375579759,0.00224086716347908,38378
LK,LKA,0,25.6980680498474,17.4,2.17027011350152,2.10329917469938,0.427586001769043,10.7,3853,84008783756,0.584,7,341.465,13,0.0313132756587627,0.0007816188574831,21413250
LR,LBR,6,26.1604556068111,17.6,24.2993143558462,23.6397269830153,,2.4,621,3070518100,0.319,6.533333,52.509,9.8,0.00156771577148956,0.0000581294535020722,5057677
LS,LSO,1,13.8276135574771,26.6,25.4562430096926,22.7072405949194,0.258139565279902,4.5,1157,2460072443,0.371,-29.55,70.562,26.7,0.0160051198458445,0.000328626137354522,2142252
LT,LTU,2,8.66382802642276,20.7,1.14853157380063,1.15881605278387,3.79576495085172,3.8,19116,53411968400,0.712,55.2,44.7,28.8,0.441047189447796,0.00332869989950554,2794184
LU,LUX,2,9.61880080749747,10,1.38238609940819,1.4060808344985,6.59904925815046,5,116348,70862634400,0.692,49.77,235.1,23.5,0.46999481995263,0.00183419287368829,613894
LV,LVA,2,8.34278706097561,21.9,1.21682763734792,1.22364513957722,4.47712466805413,5,17818,34398215400,0.724,57,30.4,37,0.475008958482641,0.00310682261371023,1919968
LY,LBY,6,25.1336111057143,20.1,1.84129472631969,3.07576288711044,0.50567329174134,10.2,7683,52076250947,,27,3.905,,0.0737720604597072,0.000936796847519249,6871287
MA,MAR,3,20.4556389349593,12.4,2.74244877726239,2.64367120405887,0.407074998148576,7,3204,118725279596,0.5,32,82.703,23.4,0.0342642070054861,0.000440957841926963,36910558
MC,MCO,4,15.2679242245935,,20.5005029846712,22.6298786189415,,2.9,185829,7188238072,,43.731111,26338.255,,0.368744266639486,0.00160534094383855,39244
MD,MDA,2,11.6580831329949,24.9,1.01017574603723,0.942208569350352,1.28480812071222,5.7,4498,11955435456,0.58,47.25,122.799,24.2,0.144568257071272,0.0029271463322792,4033963
ME,MNE,4,15.5634599613821,20.6,0.970957897430781,0.972261418232942,,9,8832,5494736901,0.615,42.766667,45.7,45.9,0.446501184540858,0.00446493148307087,622182
MG,MGD,NaN,19.673244125,22.9,1.84338322833118,1.40910816700682,0.0222121992467142,4.5,522,14083906356,0.374,-20,47.596,,0.00240698978972208,0.0000509190362405948,27691019
MH,MHL,NaN,28.1484586605691,,1.14082334201467,1.40742879694201,2.44496524524906,30.5,3788,221278000,,9.82,328.856,,0.25644490995709,0.000287191269385411,59194
MK,MKD,2,,20.3,2.90258127285336,2.53868564211864,0.899122344844971,9.3,6093,12694823394,0.534,,83.4,,0.164596665016956,0.00458131693123018,2077132
ML,MLI,2,29.6888548396323,24.6,1.39575690459516,1.75474891711907,0.0298753127895868,2.4,890,17510141171,0.317,17,16.596,12.3,0.00159919339618309,0.0000364923242173631,20250834
MM,MMR,6,27.7579550854527,24.2,9.91218927369194,11.8365515835868,0.177554529873627,3.9,1407,76085852617,0.473,22,83.286,20.3,0.0113534522847118,0.000357362132266114,54409794
MN,MNG,3,2.89272393692777,30.2,2.34661721059974,2.17049812700273,5.52710034520552,4.7,4295,13852850259,0.626,47,2.11,25.6,0.299429703028284,0.000649728578174244,3278292
MO,MAC,NaN,23.9836811331301,,2.347520770289,2.35769056454331,,4.3,84096,53859116535,0.759,22.166667,21717.124,,0.00122123626686707,0.00000924012307843941,649342
MP,MNP,NaN,28.5156273390688,,,,1.70312097567078,,23258,1323000000,,16.705,125.124,,0.22855604009938,0.000694963253817954,57557
MQ,MTQ,NaN,27.1968516467611,,,,,,,,,14.65,354.024,,0.584997268596858,0.00276071576086232,375265
MR,MRT,6,29.7678063333333,18.1,4.12010945060673,5.45854257915796,0.123066028456579,7.1,1677,7593752450,0.353,21,4.511,,0.0135016323774211,0.000213564002529217,4649660
MS,MSR,NaN,27.252678111336,,8.22773250302234,8.69340534773622,,,,,,16.75,49.99,,0.265253050610122,0.0016003200640128,4999
MT,MLT,4,19.0856463953252,10.8,1.62328314715351,1.595204834078,5.30202721024892,8.3,30090,14606972200,0.701,35.883333,1548.3,25.5,0.231680508308024,0.00162695847912813,493559
MU,MUS,3,23.1574215315041,22.6,18.1461810895504,17.4685744493599,,22,11203,14180444557,0.626,-20.2,626.486,21.6,0.205184597493094,0.0008051789360787,1271767
MV,MDV,5,28.9004441361789,13.4,2.42789036250424,2.09878507402104,5.82699146085525,9.2,10790,5729248472,,4.18,1801.807,28.3,0.342186176097325,0.000569798461544154,540542
MW,MWI,6,19.2713555297419,16.4,0.570390960044509,0.605764723879222,0.0209171548374908,4.5,411,7666704427,0.407,-13,202.906,14.5,0.00459185607075396,0.000139833052403939,19129955
MX,MEX,4,19.4602863404472,15.7,1.82349887352485,2.11254257574306,0.156034911623801,13.5,9863,1258286717124,0.607,23,66.325,14,0.0268125744214988,0.000215817447594602,110991953
MY,MYS,0,26.7104638628049,17.2,1.48271597036299,1.50310903435767,2.03026604936071,16.7,11414,364701517787,0.622,3.780511,98.512,21.5,0.147409065575678,0.00111157725827888,32655400
MZ,MOZ,6,24.0380203543388,18.4,8.89765391133609,8.78626160766691,0.0541297112086553,3.3,491,14934159925,0.361,-19,39.746,16.6,0.0073646071475249,0.0000710916357427116,31255435
NC,NCL,NaN,23.2438139989837,,9.19188345692158,9.26318362244539,,21.8,,,,-21.25,15.618,,0.259980174506377,0.00109985954023069,285491
NE,NER,2,31.4056067328557,20,3.83780866949047,4.54430444318706,0.0176914297385229,2.4,554,12928145120,0.316,17,19.11,7.7,0.000387827536217754,0.00001288902762036,24206636
NG,NGA,,27.0529050501022,22.5,1.96096489465895,1.75671283289822,0.0210230014650518,3.1,2229,448120428858,0.342,9,226.336,5.8,0.0012836787142685,0.0000153003120162456,206139587
NI,NIC,1,27.3988406128049,14.2,13.4893292925955,13.6347202088635,,11.4,1912,12520915291,0.531,13,55.049,,0.0022627938424232,0.0000368326682822723,6624554
NL,NLD,2,11.3201101847716,11.2,8.32055389563788,8.57233486179323,2.36755441626915,5.4,52982,913366020000,0.8,52.316667,504,25.8,0.486123872341674,0.00130886394255164,17282163
NO,NOR,2,6.06239303654822,9.2,1.24269329623771,1.27617791463126,2.58136994421273,5.3,75419,403336363636,0.771,65,17.2,20.2,0.274238525043673,0.000757852728082141,5328212
NP,NPL,6,22.6729594253807,21.8,3.02725494792494,3.34471273405284,0.305212596840853,7.2,1071,30641380604,0.49,28,203.256,22.8,0.0342906813951618,0.000412365005802969,29136808
NR,NRU,NaN,,,69.4418804996616,64.5683342563535,,12,9396,118223430,,-0.533333,541.7,40,0.425512276167621,0.0000923020121838656,10834
NZ,NZL,0,13.8566128932927,10.1,1.50578316276878,1.55248496928105,1.72800149468152,6.2,42084,206928765543,0.767,-41.2,18.314,16,0.361903085147482,0.0006127866488409,4822233
OM,OMN,6,27.2114392617801,17.8,7.35933329965158,6.4671939985993,,10.1,15474,76983094928,0.622,21,16.5,11.1,0.0779366477487466,0.000906274245479693,5106622
PA,PAN,4,27.5021159674797,13,6.93615177323224,6.69988044596282,1.76026079165412,7.7,15731,66800800000,0.532,8.616667,58.041,6.1,0.228108208830695,0.00196696554716267,4314768
PE,PER,5,25.1226186415479,12.6,1.71466784550785,1.7508895781754,,6.6,6977,226848050819,0.586,-9.4,25.759,4.8,0.140481529366871,0.00735735666235698,29381884
PF,PYF,NaN,26.9565172378049,,10.0815170362062,10.0443567909321,,19.5,,,,-17.533333,76.75,,0.272548628713012,0.00231039785834306,280904
PG,PNG,0,28.3693998994652,30,0.893998483678273,0.809749894201355,,17.9,2845,24969611434,0.384,-6.3,19.757,36.3,0.00502088570873878,0.0000742145966475792,8947027
